,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 8: Derived Portfolio Investment Liabilities (All Economies) by Economy of Nonresident Holder: Total Portfolio Investment (Derived from Creditor Data),,,,,,,,,,,,,,,,,,,,,,,,,
,"End-of-Period, US Dollars, Millions",,,,,,,,,,,,,,,,,,,,,,,,,
,Country,DEC. 2001,DEC. 2002,DEC. 2003,DEC. 2004,DEC. 2005,DEC. 2006,DEC. 2007,DEC. 2008,DEC. 2009,DEC. 2010,DEC. 2011,DEC. 2012,JUN. 2013,DEC. 2013,JUN. 2014,DEC. 2014,JUN. 2015,DEC. 2015,JUN. 2016,DEC. 2016,JUN. 2017,DEC. 2017,JUN. 2018,DEC. 2018,JUN. 2019
,Australia,44446.20,51813.53,66705.75,83302.37,99348.85,129639.47,173758.95,113723.12,166645.81,197785.19,203723.27,233136.51,,260907.59,,297955.69,,299646.82,,313970.04,296258.92,341185.26,,331582.02,
,Brazil,1878.27,1090.07,1578.34,1537.33,2173.78,1284.28,2024.11,2500.61,4217.77,18552.41,8423.53,9435.55,10705.22,10757.16,10661.08,14127.22,13709.71,13133.17,11503.95,13208.16,12379.92,13851.85,15301.00,16421.74,15688.61
,Canada,152681.63,143121.64,184286.69,206419.16,251281.34,324353.74,382584.97,264434.32,323253.09,402140.56,425468.04,528465.17,559871.65,629973.67,672163.07,710023.27,710903.92,716906.07,739978.32,802418.26,895068.97,1024952.57,1034816.22,988562.42,1135036.30
,China,,,,,,,,,,,,,,,,,116724.02,111144.32,116555.25,125687.07,138256.88,145249.14,147153.01,132021.61,144293.32
,Denmark,21117.19,19345.82,30233.82,38089.66,42008.19,49459.32,56943.04,44332.72,58485.19,70294.30,68934.14,80739.16,88311.74,97121.58,100288.15,107449.77,111759.40,113195.75,121131.94,126870.04,135928.49,146943.63,148910.93,142992.45,164385.91
,Euro area,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hong Kong SAR, China",39253.00,37020.00,46670.00,59651.38,58159.56,64871.44,70391.33,72525.39,91921.99,92538.94,74129.29,78343.98,77862.95,90160.06,93216.57,102529.30,106697.16,118527.32,130586.07,134414.75,133560.01,138504.10,163611.27,179420.35,199354.58
,India,,,,20.96,27.04,30.58,53.91,116.27,290.77,378.92,143.40,325.97,,597.06,633.66,672.64,643.72,439.65,495.72,1468.17,584.65,1890.43,1317.33,4474.65,2218.33
,Japan,490200.13,499048.34,620208.20,694382.21,747747.26,797608.04,813311.39,762424.24,919346.08,1138243.77,1168352.70,1183093.41,1042140.19,1182322.04,1243069.49,1233567.88,1275953.10,1370877.23,1534542.92,1551475.24,1553183.04,1595103.75,1525316.39,1516255.22,1679811.15
,"Korea, Rep.",3763.86,5730.32,9066.75,15239.89,24827.21,38176.05,46963.53,25471.83,31826.69,32630.89,36852.48,46413.30,51770.13,62639.52,72993.06,83149.61,93069.58,98103.90,113733.40,137311.10,163716.70,187013.40,202460.10,207054.10,239677.90
,Malaysia,208.33,346.00,401.67,478.54,566.51,823.16,1408.14,3259.43,6011.10,7534.06,10114.67,13581.44,16299.05,17911.16,19549.26,19457.59,21651.09,20816.43,22784.54,23542.59,24635.46,26180.92,27515.18,27827.17,19566.80
,Mexico,,,3914.00,3783.10,6805.00,34355.43,33967.23,17853.08,26105.53,28330.15,20055.06,17966.71,14127.38,15444.89,16959.70,17517.43,17856.22,17594.74,17349.93,16719.74,19334.65,24116.34,27577.82,20613.49,22376.26
,New Zealand,5267.52,7333.33,9822.80,11803.10,10457.66,11259.11,11229.97,8080.54,10737.10,12199.39,11622.03,8771.75,,17268.49,19009.69,3890.23,21691.61,C ,C ,C ,C ,C ,C ,C ,C 
,Norway,26849.51,33371.62,42254.48,60484.54,66773.26,96222.52,110813.68,113696.29,150451.90,176639.59,181229.88,220487.79,,266072.53,,297382.64,,306445.97,,341092.34,,400768.82,,396902.53,
,Singapore,22972.43,33070.65,62886.43,66170.52,67673.89,77360.35,104288.24,76596.52,95140.84,133013.95,163474.74,199379.42,216423.43,239602.42,257020.49,267916.31,276139.89,297957.62,300187.85,314434.89,343573.74,352061.69,347896.06,333301.37,371577.88
,South Africa,4384.53,4685.30,4919.58,6645.65,9109.09,14802.58,12696.62,12455.13,10410.03,13352.43,20801.56,25468.91,26968.38,29692.70,21729.21,25637.62,23820.61,24435.38,18404.21,19631.77,22130.30,25377.03,20675.61,17386.94,18282.88
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweden,51143.66,46872.24,65621.22,75338.96,77539.71,93465.05,104332.37,70669.47,90886.50,108056.93,100307.15,107972.79,,135303.87,,156452.96,151135.17,143623.59,152632.32,153302.73,164477.16,180999.27,182906.74,173295.82,200880.28
,Switzerland,82744.24,81397.74,96970.37,100111.11,100693.27,119843.46,135031.53,115892.73,145457.87,160756.03,167220.70,177216.43,184343.72,203463.94,222322.23,250268.00,271293.07,271917.53,291544.02,294402.32,313172.63,324378.05,316694.81,302204.33,334640.93
,United Kingdom,308985.96,333183.24,415562.04,534075.15,589973.65,834509.63,863632.30,690505.08,807088.14,853132.69,879606.28,848455.41,929228.57,977037.88,976965.43,970743.15,1023329.82,968186.18,943452.69,1075336.27,1102152.78,1232608.48,1150129.08,1037504.06,1151802.84